Date : 2025-03-03 12:40:45
Directory : c:\Users\Administrator\open-webui\backend
Total : 162 files,  113967 codes, 1776 comments, 6900 blanks, all 122643 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Administrator\open-webui\backend\open_webui\utils\filter.py                                                  | Python           |         80 |          8 |         23 |        111 |
| c:\Users\Administrator\open-webui\backend\open_webui\utils\images\comfyui.py                                          | Python           |        163 |          0 |         31 |        194 |
| c:\Users\Administrator\open-webui\backend\open_webui\utils\logger.py                                                  | Python           |        115 |          0 |         26 |        141 |
| c:\Users\Administrator\open-webui\backend\open_webui\utils\middleware.py                                              | Python           |      1,676 |         51 |        319 |      2,046 |
| c:\Users\Administrator\open-webui\backend\open_webui\utils\misc.py                                                    | Python           |        317 |         29 |        107 |        453 |
| c:\Users\Administrator\open-webui\backend\open_webui\utils\models.py                                                  | Python           |        205 |          4 |         38 |        247 |
| c:\Users\Administrator\open-webui\backend\open_webui\utils\oauth.py                                                   | Python           |        355 |         31 |         45 |        431 |
| c:\Users\Administrator\open-webui\backend\open_webui\utils\payload.py                                                 | Python           |        169 |         27 |         47 |        243 |
| c:\Users\Administrator\open-webui\backend\open_webui\utils\pdf_generator.py                                           | Python           |        108 |         10 |         29 |        147 |
| c:\Users\Administrator\open-webui\backend\open_webui\utils\plugin.py                                                  | Python           |        136 |         10 |         35 |        181 |
| c:\Users\Administrator\open-webui\backend\open_webui\utils\response.py                                                | Python           |        108 |          0 |         20 |        128 |
| c:\Users\Administrator\open-webui\backend\open_webui\utils\security_headers.py                                        | Python           |         95 |          9 |         30 |        134 |
| c:\Users\Administrator\open-webui\backend\open_webui\utils\task.py                                                    | Python           |        261 |         13 |         66 |        340 |
| c:\Users\Administrator\open-webui\backend\open_webui\utils\tools.py                                                   | Python           |        155 |          8 |         53 |        216 |
| c:\Users\Administrator\open-webui\backend\open_webui\utils\webhook.py                                                 | Python           |         50 |          4 |          7 |         61 |
| c:\Users\Administrator\open-webui\backend\requirements.txt                                                            | pip requirements |         88 |          5 |         26 |        119 |
| c:\Users\Administrator\open-webui\backend\start.sh                                                                    | Shell Script     |         52 |          4 |         13 |         69 |
| c:\Users\Administrator\open-webui\backend\start_windows.bat                                                           | Batch            |         30 |          6 |          9 |         45 |
| Total                                                                                                                 |                  |    113,967 |      1,776 |      6,900 |    122,643 |
+-----------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
