"filename", "language", "CSS", "Svelte", "TypeScript", "JSON", "JavaScript", "HTML", "pip requirements", "Shell Script", "Python", "Batch", "Ini", "Ignore", "comment", "blank", "total"
"c:\Users\Administrator\open-webui\backend\open_webui\test\apps\webui\storage\test_provider.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -339, 0, 0, 0, -23, -63, -425
"c:\Users\Administrator\open-webui\backend\open_webui\test\util\abstract_integration_test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -131, 0, 0, 0, -3, -28, -162
"c:\Users\Administrator\open-webui\backend\open_webui\test\util\mock_user.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -37, 0, 0, 0, 0, -9, -46
"c:\Users\Administrator\open-webui\backend\open_webui\utils\access_control.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -109, 0, 0, 0, -6, -33, -148
"c:\Users\Administrator\open-webui\backend\open_webui\utils\audit.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -196, 0, 0, 0, -4, -50, -250
"c:\Users\Administrator\open-webui\backend\open_webui\utils\auth.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -179, 0, 0, 0, -9, -60, -248
"c:\Users\Administrator\open-webui\backend\open_webui\utils\chat.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -360, 0, 0, 0, -11, -77, -448
"c:\Users\Administrator\open-webui\backend\open_webui\utils\code_interpreter.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -127, 0, 0, 0, -2, -20, -149
"c:\Users\Administrator\open-webui\backend\open_webui\utils\filter.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -80, 0, 0, 0, -8, -23, -111
"c:\Users\Administrator\open-webui\backend\open_webui\utils\images\comfyui.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -163, 0, 0, 0, 0, -31, -194
"c:\Users\Administrator\open-webui\backend\open_webui\utils\logger.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -115, 0, 0, 0, 0, -26, -141
"c:\Users\Administrator\open-webui\backend\open_webui\utils\middleware.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1676, 0, 0, 0, -51, -319, -2046
"c:\Users\Administrator\open-webui\backend\open_webui\utils\misc.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -317, 0, 0, 0, -29, -107, -453
"c:\Users\Administrator\open-webui\backend\open_webui\utils\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -205, 0, 0, 0, -4, -38, -247
"c:\Users\Administrator\open-webui\backend\open_webui\utils\oauth.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -355, 0, 0, 0, -31, -45, -431
"c:\Users\Administrator\open-webui\backend\open_webui\utils\payload.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -169, 0, 0, 0, -27, -47, -243
"c:\Users\Administrator\open-webui\backend\open_webui\utils\pdf_generator.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -108, 0, 0, 0, -10, -29, -147
"c:\Users\Administrator\open-webui\backend\open_webui\utils\plugin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -136, 0, 0, 0, -10, -35, -181
"c:\Users\Administrator\open-webui\backend\open_webui\utils\response.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -108, 0, 0, 0, 0, -20, -128
"c:\Users\Administrator\open-webui\backend\open_webui\utils\security_headers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -95, 0, 0, 0, -9, -30, -134
"c:\Users\Administrator\open-webui\backend\open_webui\utils\task.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -261, 0, 0, 0, -13, -66, -340
"c:\Users\Administrator\open-webui\backend\open_webui\utils\tools.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -155, 0, 0, 0, -8, -53, -216
"c:\Users\Administrator\open-webui\backend\open_webui\utils\webhook.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -50, 0, 0, 0, -4, -7, -61
"c:\Users\Administrator\open-webui\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, -88, 0, 0, 0, 0, 0, -5, -26, -119
"c:\Users\Administrator\open-webui\backend\start.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, -52, 0, 0, 0, 0, -4, -13, -69
"c:\Users\Administrator\open-webui\backend\start_windows.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, -6, -9, -45
"c:\Users\Administrator\open-webui\src\app.css", "CSS", 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 70, 375
"c:\Users\Administrator\open-webui\src\app.d.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 13
"c:\Users\Administrator\open-webui\src\app.html", "HTML", 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 3, 34, 236
"c:\Users\Administrator\open-webui\src\lib\apis\audio\index.ts", "TypeScript", 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 194
"c:\Users\Administrator\open-webui\src\lib\apis\auths\index.ts", "TypeScript", 0, 0, 603, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 695
"c:\Users\Administrator\open-webui\src\lib\apis\channels\index.ts", "TypeScript", 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 443
"c:\Users\Administrator\open-webui\src\lib\apis\chats\index.ts", "TypeScript", 0, 0, 908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 1055
"c:\Users\Administrator\open-webui\src\lib\apis\configs\index.ts", "TypeScript", 0, 0, 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 318
"c:\Users\Administrator\open-webui\src\lib\apis\evaluations\index.ts", "TypeScript", 0, 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 247
"c:\Users\Administrator\open-webui\src\lib\apis\files\index.ts", "TypeScript", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 244
"c:\Users\Administrator\open-webui\src\lib\apis\folders\index.ts", "TypeScript", 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 270
"c:\Users\Administrator\open-webui\src\lib\apis\functions\index.ts", "TypeScript", 0, 0, 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 456
"c:\Users\Administrator\open-webui\src\lib\apis\groups\index.ts", "TypeScript", 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 163
"c:\Users\Administrator\open-webui\src\lib\apis\images\index.ts", "TypeScript", 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 233
"c:\Users\Administrator\open-webui\src\lib\apis\index.ts", "TypeScript", 0, 0, 1077, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 170, 1267
"c:\Users\Administrator\open-webui\src\lib\apis\knowledge\index.ts", "TypeScript", 0, 0, 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 348
"c:\Users\Administrator\open-webui\src\lib\apis\memories\index.ts", "TypeScript", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 187
"c:\Users\Administrator\open-webui\src\lib\apis\models\index.ts", "TypeScript", 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 266
"c:\Users\Administrator\open-webui\src\lib\apis\ollama\index.ts", "TypeScript", 0, 0, 457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 73, 542
"c:\Users\Administrator\open-webui\src\lib\apis\openai\index.ts", "TypeScript", 0, 0, 371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 423
"c:\Users\Administrator\open-webui\src\lib\apis\prompts\index.ts", "TypeScript", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 205
"c:\Users\Administrator\open-webui\src\lib\apis\retrieval\index.ts", "TypeScript", 0, 0, 498, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 577
"c:\Users\Administrator\open-webui\src\lib\apis\streaming\index.ts", "TypeScript", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 15, 143
"c:\Users\Administrator\open-webui\src\lib\apis\tools\index.ts", "TypeScript", 0, 0, 361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 423
"c:\Users\Administrator\open-webui\src\lib\apis\users\index.ts", "TypeScript", 0, 0, 316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 366
"c:\Users\Administrator\open-webui\src\lib\apis\utils\index.ts", "TypeScript", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 218
"c:\Users\Administrator\open-webui\src\lib\components\AddConnectionModal.svelte", "Svelte", 0, 325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 370
"c:\Users\Administrator\open-webui\src\lib\components\AddFilesPlaceholder.svelte", "Svelte", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Administrator\open-webui\src\lib\components\ChangelogModal.svelte", "Svelte", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 121
"c:\Users\Administrator\open-webui\src\lib\components\NotificationToast.svelte", "Svelte", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 54
"c:\Users\Administrator\open-webui\src\lib\components\OnBoarding.svelte", "Svelte", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 79
"c:\Users\Administrator\open-webui\src\lib\components\admin\Evaluations.svelte", "Svelte", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 101
"c:\Users\Administrator\open-webui\src\lib\components\admin\Evaluations\FeedbackMenu.svelte", "Svelte", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\Administrator\open-webui\src\lib\components\admin\Evaluations\Feedbacks.svelte", "Svelte", 0, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36, 286
